name,access,value,type,error
available_event_names,Read Only,"['DeviceVendorName', 'DeviceModelName', 'DeviceManufacturerInfo', 'FLK_TI_Info_PlatformId', 'FLK_TI_Info_VLDataProviderAvailable', 'FLK_TI_Info_VLDataSize', 'FLK_TI_Info_REDataProviderAvailable', 'FLK_TI_Info_REDataSize', 'FLK_TI_Info_REDataRate', 'FLK_TI_Info_RE_TPM_Validity_Code', 'FLK_TI_Info_RE_Platform_Id', 'FLK_TI_Info_RE_Capabilities0', 'FLK_TI_Info_CurrentDeviceTemperatureC', 'FLK_TI_Info_CriticalDeviceTemperatureC', 'FLK_TI_Info_SecuredDataStreamingOnly', 'FLK_TI_InfoSelector', 'FLK_TI_InfoString', 'FLK_TI_Info_CalibrationRangeInfoQuery', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_LowerBoundary', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_UpperBoundary', 'FLK_TI_CalibrationInfo', 'FLK_TI_ControlFeature_SetFocusDistanceMm', 'FLK_TI_ControlFeature_CurrentFocusDistanceMm', 'FLK_TI_ControlFeature_FocusDistanceMm_Min', 'FLK_TI_ControlFeature_FocusDistanceMm_Max', 'FLK_TI_ControlFeature_REControlCmd', 'FLK_TI_ControlFeature_SetFrameRate', 'DeviceSFNCVersionMajor', 'DeviceSFNCVersionMinor', 'DeviceSFNCVersionSubMinor', 'DeviceType', 'DeviceStreamChannelCount', 'FLK_TI_StreamDataSourceSelector', 'TransmitAs', 'ImageCompressionMode', 'SensorWidth', 'SensorHeight', 'WidthMin', 'WidthMax', 'Width', 'HeightMin', 'HeightMax', 'Height', 'PixelFormat', 'AcquisitionMode', 'PayloadSize', 'GevCurrentPhysicalLinkConfiguration', 'GevPrimaryApplicationIPAddress', 'GevPrimaryApplicationSocket', 'GevSupportedOptionSelector', 'GevSupportedOption', '[System]TLID', '[System]TLVendorName', '[System]TLModelName', '[System]TLVersion', '[System]TLFileName', '[System]TLPath', '[System]TLType', '[System]GenTLVersionMajor', '[System]GenTLVersionMinor', '[System]GenTLSFNCVersionMajor', '[System]GenTLSFNCVersionMinor', '[System]GevTLSubsystemInfo', '[System]InterfaceUpdateList', '[System]InterfaceUpdateTimeout', '[System]InterfaceSelector', '[System]InterfaceID', '[System]GevInterfaceMACAddress', '[System]GevInterfaceDefaultIPAddress', '[System]GevInterfaceDefaultSubnetMask', '[Interface]InterfaceID', '[Interface]InterfaceType', '[Interface]InterfaceTLVersionMajor', '[Interface]InterfaceTLVersionMinor', '[Interface]GevInterfaceMACAddress', '[Interface]GevInterfaceSubnetSelector', '[Interface]GevInterfaceSubnetIPAddress', '[Interface]GevInterfaceSubnetMask', '[Interface]GevInterfaceMTU', '[Interface]GevInterfaceGatewaySelector', '[Interface]GevInterfaceGateway', '[Interface]DeviceUpdateList', '[Interface]DeviceUpdateTimeout', '[Interface]DeviceSelector', '[Interface]DeviceID', '[Interface]DeviceVendorName', '[Interface]DeviceModelName', '[Interface]DeviceAccessStatus', '[Interface]DeviceSerialNumber', '[Interface]DeviceUserID', '[Interface]DeviceTLVersionMajor', '[Interface]DeviceTLVersionMinor', '[Interface]GevDeviceIPAddress', '[Interface]GevDeviceSubnetMask', '[Interface]GevDeviceGateway', '[Interface]GevDeviceMACAddress', '[Interface]GevDeviceForceIPAddress', '[Interface]GevDeviceForceSubnetMask', '[Interface]GevDeviceForceGateway', '[Interface]GevDeviceForceIPTimeout', '[Interface]GevDeviceProposeIP', '[Interface]GevDeviceForceIP', '[Interface]GevDeviceLastForceIPSuccess', '[Interface]ActionCommand', '[Interface]ActionDeviceKey', '[Interface]ActionGroupKey', '[Interface]ActionGroupMask', '[Interface]ActionScheduledTimeEnable', '[Interface]ActionScheduledTime', '[Interface]GevActionDestinationIPAddress', '[Device]DeviceID', '[Device]DeviceSerialNumber', '[Device]DeviceUserID', '[Device]DeviceVendorName', '[Device]DeviceModelName', '[Device]DeviceVersion', '[Device]DeviceManufacturerInfo', '[Device]DeviceType', '[Device]DeviceAccessStatus', '[Device]GevDeviceIPAddress', '[Device]GevDeviceSubnetMask', '[Device]GevDeviceMACAddress', '[Device]GevDeviceGateway', '[Device]StreamSelector', '[Device]StreamID', '[Device]DeviceEndianessMechanism', '[Device]LinkCommandTimeout', '[Device]LinkCommandRetryCount', '[Device]DeviceLinkHeartbeatMode', '[Device]DeviceLinkHeartbeatTimeout', '[Device]ForceSocketDriver', '[Device]EventSelector', '[Device]EventNotification', '[Device]EventDeviceLost', '[Device]DeviceMessageChannelKeepAliveTimeout', '[Stream]StreamID', '[Stream]StreamType', '[Stream]StreamAnnouncedBufferCount', '[Stream]StreamBufferHandlingMode', '[Stream]StreamAnnounceBufferMinimum', '[Stream]PayloadSize', '[Stream]StreamThreadPriority', '[Stream]StreamThreadApplyPriority', '[Stream]StreamAuxiliaryBufferCount', '[Stream]GevStreamMaxPacketGaps', '[Stream]GevStreamMaxBlockDuration', '[Stream]GevStreamDeliverIncompleteBlocks', '[Stream]GevStreamFullBlockTerminatesPrev', '[Stream]GevStreamPacketOrderDelay', '[Stream]GevStreamAbortCheckPeriod', '[Stream]GevStreamActiveEngine', '[Stream]GevStreamRingBufferSize', '[Stream]GevStreamReceiveSocketSize', '[Stream]DeviceStreamChannelPacketSize', '[Stream]DeviceStreamChannelPacketSizeMin', '[Stream]DeviceStreamChannelPacketSizeMax', '[Stream]DeviceStreamChannelPacketSizeInc', '[Stream]DeviceStreamChannelNegotiatePacketSize', '[Stream]DeviceStreamChannelKeepAliveTimeout', '[Stream]GevStreamSeenPacketCount', '[Stream]GevStreamLostPacketCount', '[Stream]GevStreamDeliveredPacketCount', '[Stream]GevStreamUnavailablePacketCount', '[Stream]GevStreamDuplicatePacketCount', '[Stream]GevStreamResendCommandCount', '[Stream]GevStreamResendPacketCount', '[Stream]GevStreamSkippedBlockCount', '[Stream]GevStreamEngineUnderrunCount', '[Stream]GevStreamDiscardedBlockCount', '[Stream]GevStreamIncompleteBlockCount', '[Stream]GevStreamOversizedBlockCount', '[Stream]EventSelector', '[Stream]EventNotification', '[Stream]EventTransferEnd', '[Stream]EventTransferEndFrameID', '[Stream]EventTransferEndBufferUndeliverable', '[Stream]EventTransferEndUndeliverabilityReason', 'available_callback_types', 'available_event_names', 'available_param_names', 'do_abort_grab', 'do_write_configuration', 'grab_timeout', 'image_available', 'revision', 'start_async_after_grab_async', 'volatile', 'image_width', 'image_height', 'bits_per_channel', 'color_space', 'num_buffers', 'tl_id', 'tl_model', 'tl_filename', 'tl_pathname', 'tl_displayname', 'delay_after_stop', 'buffer_timestamp', 'buffer_timestamp_ns', 'device_timestamp_frequency', 'buffer_is_incomplete', 'num_buffers_underrun', 'num_buffers_await_delivery', 'clear_buffer', 'split_param_values_into_dwords', 'direct_connection', 'streaming_mode', 'device_event_handling', 'device_access', 'workarounds', 'force_ip', 'force_sockdrv', 'buffer_reallocation_mode', 'settings_selector', 'do_write_settings', 'do_load_settings', 'image_contents', 'image_source_id', 'image_region_id', 'image_purpose_id', 'image_raw_buffer_type', 'image_raw_buffer_padding_bytes', 'data_contents', 'data_source_id', 'data_region_id', 'data_purpose_id', 'create_objectmodel3d', 'coordinate_transform_mode', 'confidence_mode', 'confidence_threshold', 'add_objectmodel3d_overlay_attrib', 'buffer_frameid', 'image_pixel_format', 'event_notification_helper', 'fileaccess_remote_name', 'fileaccess_file_path', 'do_fileaccess_download', 'do_fileaccess_upload', 'do_fileaccess_delete', 'event_data', 'event_message_queue', 'event_selector', 'available_easyparam_names', 'event_new_buffer']",list[str],
available_param_names,Read Only,"['DeviceVendorName', 'DeviceModelName', 'DeviceManufacturerInfo', 'FLK_TI_Info_PlatformId', 'FLK_TI_Info_VLDataProviderAvailable', 'FLK_TI_Info_VLDataSize', 'FLK_TI_Info_REDataProviderAvailable', 'FLK_TI_Info_REDataSize', 'FLK_TI_Info_REDataRate', 'FLK_TI_Info_RE_TPM_Validity_Code', 'FLK_TI_Info_RE_Platform_Id', 'FLK_TI_Info_RE_Capabilities0', 'FLK_TI_Info_CurrentDeviceTemperatureC', 'FLK_TI_Info_CriticalDeviceTemperatureC', 'FLK_TI_Info_SecuredDataStreamingOnly', 'FLK_TI_InfoSelector', 'FLK_TI_InfoString', 'FLK_TI_Info_CalibrationRangeInfoQuery', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_LowerBoundary', 'FLK_TI_Info_CalibrationRangeInfo_RangeSpan_UpperBoundary', 'FLK_TI_CalibrationInfo', 'FLK_TI_ControlFeature_SetFocusDistanceMm', 'FLK_TI_ControlFeature_CurrentFocusDistanceMm', 'FLK_TI_ControlFeature_FocusDistanceMm_Min', 'FLK_TI_ControlFeature_FocusDistanceMm_Max', 'FLK_TI_ControlFeature_REControlCmd', 'FLK_TI_ControlFeature_SetFrameRate', 'DeviceSFNCVersionMajor', 'DeviceSFNCVersionMinor', 'DeviceSFNCVersionSubMinor', 'DeviceType', 'DeviceStreamChannelCount', 'FLK_TI_StreamDataSourceSelector', 'TransmitAs', 'ImageCompressionMode', 'SensorWidth', 'SensorHeight', 'WidthMin', 'WidthMax', 'Width', 'HeightMin', 'HeightMax', 'Height', 'PixelFormat', 'AcquisitionMode', 'PayloadSize', 'GevCurrentPhysicalLinkConfiguration', 'GevPrimaryApplicationIPAddress', 'GevPrimaryApplicationSocket', 'GevSupportedOptionSelector', 'GevSupportedOption', '[System]TLID', '[System]TLVendorName', '[System]TLModelName', '[System]TLVersion', '[System]TLFileName', '[System]TLPath', '[System]TLType', '[System]GenTLVersionMajor', '[System]GenTLVersionMinor', '[System]GenTLSFNCVersionMajor', '[System]GenTLSFNCVersionMinor', '[System]GevTLSubsystemInfo', '[System]InterfaceUpdateList', '[System]InterfaceUpdateTimeout', '[System]InterfaceSelector', '[System]InterfaceID', '[System]GevInterfaceMACAddress', '[System]GevInterfaceDefaultIPAddress', '[System]GevInterfaceDefaultSubnetMask', '[Interface]InterfaceID', '[Interface]InterfaceType', '[Interface]InterfaceTLVersionMajor', '[Interface]InterfaceTLVersionMinor', '[Interface]GevInterfaceMACAddress', '[Interface]GevInterfaceSubnetSelector', '[Interface]GevInterfaceSubnetIPAddress', '[Interface]GevInterfaceSubnetMask', '[Interface]GevInterfaceMTU', '[Interface]GevInterfaceGatewaySelector', '[Interface]GevInterfaceGateway', '[Interface]DeviceUpdateList', '[Interface]DeviceUpdateTimeout', '[Interface]DeviceSelector', '[Interface]DeviceID', '[Interface]DeviceVendorName', '[Interface]DeviceModelName', '[Interface]DeviceAccessStatus', '[Interface]DeviceSerialNumber', '[Interface]DeviceUserID', '[Interface]DeviceTLVersionMajor', '[Interface]DeviceTLVersionMinor', '[Interface]GevDeviceIPAddress', '[Interface]GevDeviceSubnetMask', '[Interface]GevDeviceGateway', '[Interface]GevDeviceMACAddress', '[Interface]GevDeviceForceIPAddress', '[Interface]GevDeviceForceSubnetMask', '[Interface]GevDeviceForceGateway', '[Interface]GevDeviceForceIPTimeout', '[Interface]GevDeviceProposeIP', '[Interface]GevDeviceForceIP', '[Interface]GevDeviceLastForceIPSuccess', '[Interface]ActionCommand', '[Interface]ActionDeviceKey', '[Interface]ActionGroupKey', '[Interface]ActionGroupMask', '[Interface]ActionScheduledTimeEnable', '[Interface]ActionScheduledTime', '[Interface]GevActionDestinationIPAddress', '[Device]DeviceID', '[Device]DeviceSerialNumber', '[Device]DeviceUserID', '[Device]DeviceVendorName', '[Device]DeviceModelName', '[Device]DeviceVersion', '[Device]DeviceManufacturerInfo', '[Device]DeviceType', '[Device]DeviceAccessStatus', '[Device]GevDeviceIPAddress', '[Device]GevDeviceSubnetMask', '[Device]GevDeviceMACAddress', '[Device]GevDeviceGateway', '[Device]StreamSelector', '[Device]StreamID', '[Device]DeviceEndianessMechanism', '[Device]LinkCommandTimeout', '[Device]LinkCommandRetryCount', '[Device]DeviceLinkHeartbeatMode', '[Device]DeviceLinkHeartbeatTimeout', '[Device]ForceSocketDriver', '[Device]EventSelector', '[Device]EventNotification', '[Device]EventDeviceLost', '[Device]DeviceMessageChannelKeepAliveTimeout', '[Stream]StreamID', '[Stream]StreamType', '[Stream]StreamAnnouncedBufferCount', '[Stream]StreamBufferHandlingMode', '[Stream]StreamAnnounceBufferMinimum', '[Stream]PayloadSize', '[Stream]StreamThreadPriority', '[Stream]StreamThreadApplyPriority', '[Stream]StreamAuxiliaryBufferCount', '[Stream]GevStreamMaxPacketGaps', '[Stream]GevStreamMaxBlockDuration', '[Stream]GevStreamDeliverIncompleteBlocks', '[Stream]GevStreamFullBlockTerminatesPrev', '[Stream]GevStreamPacketOrderDelay', '[Stream]GevStreamAbortCheckPeriod', '[Stream]GevStreamActiveEngine', '[Stream]GevStreamRingBufferSize', '[Stream]GevStreamReceiveSocketSize', '[Stream]DeviceStreamChannelPacketSize', '[Stream]DeviceStreamChannelPacketSizeMin', '[Stream]DeviceStreamChannelPacketSizeMax', '[Stream]DeviceStreamChannelPacketSizeInc', '[Stream]DeviceStreamChannelNegotiatePacketSize', '[Stream]DeviceStreamChannelKeepAliveTimeout', '[Stream]GevStreamSeenPacketCount', '[Stream]GevStreamLostPacketCount', '[Stream]GevStreamDeliveredPacketCount', '[Stream]GevStreamUnavailablePacketCount', '[Stream]GevStreamDuplicatePacketCount', '[Stream]GevStreamResendCommandCount', '[Stream]GevStreamResendPacketCount', '[Stream]GevStreamSkippedBlockCount', '[Stream]GevStreamEngineUnderrunCount', '[Stream]GevStreamDiscardedBlockCount', '[Stream]GevStreamIncompleteBlockCount', '[Stream]GevStreamOversizedBlockCount', '[Stream]EventSelector', '[Stream]EventNotification', '[Stream]EventTransferEnd', '[Stream]EventTransferEndFrameID', '[Stream]EventTransferEndBufferUndeliverable', '[Stream]EventTransferEndUndeliverabilityReason', 'available_callback_types', 'available_event_names', 'available_param_names', 'do_abort_grab', 'do_write_configuration', 'grab_timeout', 'image_available', 'revision', 'start_async_after_grab_async', 'volatile', 'image_width', 'image_height', 'bits_per_channel', 'color_space', 'num_buffers', 'tl_id', 'tl_model', 'tl_filename', 'tl_pathname', 'tl_displayname', 'delay_after_stop', 'buffer_timestamp', 'buffer_timestamp_ns', 'device_timestamp_frequency', 'buffer_is_incomplete', 'num_buffers_underrun', 'num_buffers_await_delivery', 'clear_buffer', 'split_param_values_into_dwords', 'direct_connection', 'streaming_mode', 'device_event_handling', 'device_access', 'workarounds', 'force_ip', 'force_sockdrv', 'buffer_reallocation_mode', 'settings_selector', 'do_write_settings', 'do_load_settings', 'image_contents', 'image_source_id', 'image_region_id', 'image_purpose_id', 'image_raw_buffer_type', 'image_raw_buffer_padding_bytes', 'data_contents', 'data_source_id', 'data_region_id', 'data_purpose_id', 'create_objectmodel3d', 'coordinate_transform_mode', 'confidence_mode', 'confidence_threshold', 'add_objectmodel3d_overlay_attrib', 'buffer_frameid', 'image_pixel_format', 'event_notification_helper', 'fileaccess_remote_name', 'fileaccess_file_path', 'do_fileaccess_download', 'do_fileaccess_upload', 'do_fileaccess_delete', 'event_data', 'event_message_queue', 'event_selector', 'available_easyparam_names']",list[str],
bits_per_channel,Read / Write,-1,int,
buffer_frameid,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
buffer_is_incomplete,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
buffer_reallocation_mode,Read / Write,only_increase_size,string,
buffer_timestamp,Unsupported,<None>,unknown,HALCON error #5331: Image acquisition: parameter not available in current configuration
buffer_timestamp_ns,Unsupported,<None>,unknown,HALCON error #5331: Image acquisition: parameter not available in current configuration
clear_buffer,Write Only,disable,string,
color_space,Read / Write,default,string,
confidence_mode,Read / Write,off,string,
confidence_threshold,Read / Write,0.5,double,
coordinate_transform_mode,Read / Write,reference,string,
create_objectmodel3d,Read Only,disable,string,
data_contents,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
data_purpose_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
data_region_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
data_source_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
delay_after_stop,Read / Write,0,int,
device_access,Read Only,exclusive,string,
device_event_handling,Read Only,1,int,
device_timestamp_frequency,Unsupported,<None>,unknown,"HALCON error #5331: Image acquisition: parameter not available in current configuration: Timestamp frequency not known for this device
(GetInternalBaseParam:24294)"
direct_connection,Read Only,disable,string,
do_abort_grab,Write Only,1,command,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_fileaccess_delete,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_fileaccess_download,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_fileaccess_upload,Unsupported,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_load_settings,Write Only,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_write_configuration,Write Only,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
do_write_settings,Write Only,<None>,unknown,"HALCON error #5330: Image acquisition: could not query parameter setting: Attempt to read a write-only parameter.
(GetInternalBaseParam:23816)"
event_data,Read Only,[],list[],
event_message_queue,Read / Write,<halcon.ffi.HNull object at 0x000001DD3100D090>,HNull,
event_notification_helper,Read / Write,disable,string,
event_selector,Read / Write,grab_timeout,string,
fileaccess_file_path,Read / Write,,string,
fileaccess_remote_name,Read / Write,,string,
force_ip,Read Only,,string,
force_sockdrv,Read Only,0,int,
grab_timeout,Read / Write,5000,int,
image_available,Read Only,0,int,
image_contents,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_height,Read Only,480,int,
image_pixel_format,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_purpose_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_raw_buffer_padding_bytes,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_raw_buffer_type,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_region_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_source_id,Unsupported,<None>,unknown,HALCON error #5330: Image acquisition: could not query parameter setting
image_width,Read Only,640,int,
num_buffers,Read Only,4,int,
num_buffers_await_delivery,Read Only,0,int,
num_buffers_underrun,Read Only,0,int,
revision,Read Only,24.11.21,string,
settings_selector,Read / Write,RemoteDevice,string,
split_param_values_into_dwords,Read / Write,disable,string,
start_async_after_grab_async,Read / Write,enable,string,
streaming_mode,Read Only,1,int,
tl_displayname,Read Only,MVTec GigE Vision GenTL Producer,string,
tl_filename,Read Only,hAcqGigEVision2.dll,string,
tl_id,Read Only,C:\Program Files\MVTec\HALCON-24.11-Progress-Steady\bin\x64-win64\hAcqGigEVision2.dll,string,
tl_model,Read Only,GigEVision,string,
tl_pathname,Read Only,C:\Program Files\MVTec\HALCON-24.11-Progress-Steady\bin\x64-win64\hAcqGigEVision2.dll,string,
volatile,Read / Write,disable,string,
workarounds,Read Only,,string,
